,Date,Open,High,Low,Close,Adj Close,Volume,Tweets,Marketcap,Proportion Traded
0,2018-08-21,6301.069824,6500.870117,6298.240234,6488.759766,6488.759766,3377180000.0,33425.0,110405790000.0,0.0305887949530984
1,2018-08-22,6486.25,6816.790039,6310.109863,6376.709961,6376.709961,4668110000.0,32026.0,113527140000.0,0.0411188915174744
2,2018-08-23,6371.339844,6546.540039,6371.339844,6534.879883,6534.879883,3426180000.0,33815.0,111009420000.0,0.0308638662943866
3,2018-08-24,6551.52002,6719.959961,6498.640137,6719.959961,6719.959961,4097820000.0,29804.0,113109890000.0,0.0362286612334834
4,2018-08-25,6719.950195,6789.629883,6700.959961,6763.189941,6763.189941,3312600000.0,26122.0,115973070000.0,0.0285635275135695
5,2018-08-26,6754.640137,6774.75,6620.75,6707.259766,6707.259766,3295500000.0,23840.0,115294855000.0,0.0285832355242392
6,2018-08-27,6710.799805,6884.640137,6689.709961,6884.640137,6884.640137,4019000000.0,28754.0,116028790000.0,0.0346379540966109
7,2018-08-28,6891.080078,7109.560059,6882.339844,7096.279785,7096.279785,4659940000.0,33359.0,120596914000.0,0.0386406238653772
8,2018-08-29,7091.709961,7113.299805,6970.819824,7047.160156,7047.160156,4145880000.0,31756.0,121813524000.0,0.0340346444920464
9,2018-08-30,7043.759766,7072.689941,6834.689941,6978.22998,6978.22998,4463250000.0,31447.0,119764030000.0,0.0372670314135536
10,2018-08-31,6973.970215,7057.169922,6920.160156,7037.580078,7037.580078,4495650000.0,32099.0,120587520000.0,0.0372812217744584
11,2018-09-01,7044.810059,7242.290039,7038.049805,7193.25,7193.25,4116050000.0,30166.0,122656014000.0,0.0335576695711359
12,2018-09-02,7189.580078,7306.310059,7132.160156,7272.720215,7272.720215,4329540000.0,29111.0,125007930000.0,0.0346341229929972
13,2018-09-03,7279.029785,7317.939941,7208.149902,7260.060059,7260.060059,4087760000.0,34835.0,125370590000.0,0.0326054142889972
14,2018-09-04,7263.0,7388.259766,7255.439941,7361.660156,7361.660156,4273640000.0,35005.0,126463430000.0,0.033793485723498
15,2018-09-05,7361.459961,7388.430176,6792.830078,6792.830078,6792.830078,5800460000.0,35456.0,123254580000.0,0.0470608072953446
16,2018-09-06,6755.140137,6755.140137,6404.720215,6529.169922,6529.169922,5523470000.0,37078.0,111140820000.0,0.0496979404049588
17,2018-09-07,6528.919922,6555.290039,6396.870117,6467.069824,6467.069824,4264680000.0,33033.0,111512370000.0,0.038244007854081
18,2018-09-08,6460.169922,6534.25,6197.52002,6225.97998,6225.97998,3835060000.0,28446.0,110095180000.0,0.0348340409435074
19,2018-09-09,6223.379883,6446.259766,6201.220215,6300.859863,6300.859863,3671890000.0,30519.0,108848610000.0,0.033733916815303
20,2018-09-10,6301.569824,6374.97998,6292.759766,6329.700195,6329.700195,3714100000.0,33868.0,108854770000.0,0.0341197720741769
21,2018-09-11,6331.879883,6398.919922,6260.209961,6321.200195,6321.200195,3849910000.0,32809.0,108953510000.0,0.0353353462771191
22,2018-09-12,6317.009766,6363.870117,6265.089844,6351.799805,6351.799805,4064230000.0,29716.0,108532376000.0,0.0374471670718452
23,2018-09-13,6354.240234,6535.410156,6354.240234,6517.310059,6517.310059,4210910000.0,32269.0,111359630000.0,0.0378136129634544
24,2018-09-14,6515.410156,6596.100098,6456.169922,6512.709961,6512.709961,4076220000.0,31041.0,112347830000.0,0.0362821419499195
25,2018-09-15,6509.399902,6561.720215,6493.549805,6543.200195,6543.200195,3216300000.0,27319.0,112646865000.0,0.0285520595976587
26,2018-09-16,6536.680176,6544.330078,6460.100098,6517.180176,6517.180176,3273730000.0,26995.0,112099540000.0,0.029203777027362
27,2018-09-17,6514.060059,6540.209961,6257.52002,6281.200195,6281.200195,3910780000.0,31037.0,110681210000.0,0.0353337298074923
28,2018-09-18,6280.910156,6384.180176,6265.709961,6371.299805,6371.299805,4180090000.0,30885.0,108947735000.0,0.0383678469140237
29,2018-09-19,6371.850098,6448.459961,6208.339844,6398.540039,6398.540039,4431340000.0,31000.0,109723520000.0,0.0403864196488326
30,2018-09-20,6398.850098,6529.259766,6395.950195,6519.669922,6519.669922,4348110000.0,32268.0,110962760000.0,0.0391853080464814
