Date,Open,High,Low,Close,Adj Close,Volume,Tweets,Marketcap,Proportion Traded
2019-09-16,10347.22266,10386.86719,10189.74414,10276.79395,10276.79395,15160167779.0,16491,184548980000.0,0.08214712186598058
2019-09-17,10281.51367,10296.77148,10199.73926,10241.27246,10241.27246,15304603363.0,17082,183679320000.0,0.0833224086286217
2019-09-18,10247.7959,10275.92871,10191.46973,10198.24805,10198.24805,16169268880.0,18477,183220450000.0,0.0882503485940943
2019-09-19,10200.49609,10295.66895,9851.692383,10266.41504,10266.41504,19937691247.0,18387,179586920000.0,0.11101972650639792
2019-09-20,10266.31836,10285.87207,10132.18652,10181.6416,10181.6416,14734189639.0,16907,182922970000.0,0.08054860312217939
2019-09-21,10183.64844,10188.09766,10000.70801,10019.7168,10019.7168,13425266806.0,13899,180542360000.0,0.07436075938967705
2019-09-22,10024.11523,10074.44434,9922.533203,10070.39258,10070.39258,13199651698.0,14650,179609700000.0,0.07349075146075248
2019-09-23,10067.96289,10074.23828,9727.143555,9729.324219,9729.324219,15144925408.0,18065,177900720000.0,0.08513133474558808
2019-09-24,9729.321289,9804.317383,8370.801758,8620.566406,8620.566406,25002886689.0,21250,170022290000.0,0.14705652285978185
2019-09-25,8603.428711,8744.828125,8325.396484,8486.993164,8486.993164,21744728353.0,21772,152003920000.0,0.14305373421495235
2019-09-26,8487.669922,8515.685547,7895.629395,8118.967773,8118.967773,19258205289.0,19619,148341720000.0,0.12982325817464113
2019-09-27,8113.101074,8271.520508,7965.922852,8251.845703,8251.845703,16408941156.0,19119,144651220000.0,0.11343797038938606
2019-09-28,8251.273438,8285.617188,8125.431641,8245.915039,8245.915039,14141152736.0,15414,146773560000.0,0.09634673302975147
2019-09-29,8246.037109,8261.707031,7990.49707,8104.185547,8104.185547,13034629109.0,14229,145371870000.0,0.08966403758101177
2019-09-30,8104.226563,8314.231445,7830.758789,8293.868164,8293.868164,17115474183.0,17758,145182180000.0,0.1178896353686233
2019-10-01,8299.720703,8497.692383,8232.679688,8343.276367,8343.276367,15305343413.0,17754,150300800000.0,0.10183141473747241
2019-10-02,8344.212891,8393.041992,8227.695313,8393.041992,8393.041992,13125712443.0,15544,148530990000.0,0.0883701960607926
2019-10-03,8390.774414,8414.227539,8146.437012,8259.992188,8259.992188,13668823409.0,15626,148357500000.0,0.09213436260978826
2019-10-04,8259.494141,8260.055664,8151.236816,8205.939453,8205.939453,13139456229.0,14904,146906900000.0,0.08944069772451001
2019-10-05,8210.149414,8215.526367,8071.120605,8151.500488,8151.500488,12200497197.0,13536,146124930000.0,0.08349360446225607
2019-10-06,8149.876953,8161.410156,7958.850586,7988.155762,7988.155762,13160830305.0,14729,144114220000.0,0.09132221795020462
2019-10-07,7989.120605,8308.450195,7905.766113,8245.623047,8245.623047,18009742607.0,16843,145067110000.0,0.12414765861698167
2019-10-08,8246.849609,8332.714844,8185.763184,8228.783203,8228.783203,15592264032.0,16662,147692400000.0,0.10557255168179537
2019-10-09,8229.84082,8627.706055,8169.298828,8595.740234,8595.740234,19384942333.0,17990,149954840000.0,0.1292718696061307
2019-10-10,8585.280273,8625.272461,8471.933594,8586.473633,8586.473633,17618660671.0,17144,153877330000.0,0.11449809043130497
2019-10-11,8585.262695,8721.780273,8316.181641,8321.756836,8321.756836,19604381101.0,16759,151162160000.0,0.12969106300944094
2019-10-12,8315.665039,8415.242188,8313.34082,8336.555664,8336.555664,14532641605.0,14136,150029030000.0,0.09686553370507907
2019-10-13,8336.902344,8470.988281,8276.612305,8321.005859,8321.005859,13808286059.0,14172,150470400000.0,0.09176746139319948
2019-10-14,8320.832031,8390.208984,8284.130859,8374.686523,8374.686523,15151387859.0,17307,149679460000.0,0.10122556720867729
2019-10-15,8373.458008,8410.714844,8182.706543,8205.369141,8205.369141,15220412632.0,17552,148878030000.0,0.10223410624072624
